Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glucan Catabolic Process (GO:0009251)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	STBD1
Regulation of Muscle Organ Development (GO:0048634)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	DCANP1
Insulin Secretion Involved in Cellular Response to Glucose Stimulus (GO:0035773)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	SELENOT
Regulation of Relaxation of Muscle (GO:1901077)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	DCANP1
Negative Regulation of Axon Regeneration (GO:0048681)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	FIGNL2
Enamel Mineralization (GO:0070166)	1/6	0.8890316634552426	0.9999966098781564	0	0	0.4519074013694164	0.05315444540401451	AMELY
Skeletal Muscle Tissue Regeneration (GO:0043403)	2/11	0.8957770035903572	0.9999966098781564	0	0	0.502056271174158	0.055258209423982636	MYMX;HDGFL2
3'-UTR-mediated mRNA Stabilization (GO:0070935)	4/20	0.9042613399757905	0.9999966098781564	0	0	0.5647121187408253	0.05683085865563411	DAZ4;DAZ3;DAZ2;DAZ1
Positive Regulation of Translational Initiation (GO:0045948)	4/20	0.9042613399757905	0.9999966098781564	0	0	0.5647121187408253	0.05683085865563411	DAZ4;DAZ3;DAZ2;DAZ1
Galactosylceramide Metabolic Process (GO:0006681)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	GBA3
Negative Regulation of Neuron Projection Regeneration (GO:0070571)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	FIGNL2
Oligosaccharide Catabolic Process (GO:0009313)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	GBA3
Protein Localization to Golgi Membrane (GO:1903292)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	RAB6D
Regulation of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	HLA-DRB3
Centromeric Sister Chromatid Cohesion (GO:0070601)	1/7	0.9230809588425001	0.9999966098781564	0	0	0.37656233018150204	0.03013942215878545	MEIKIN
Positive Regulation of mRNA Processing (GO:0050685)	5/26	0.9363106035284544	0.9999966098781564	0	0	0.5377145964421658	0.035385930860287365	RBMY1F;RBMY1E;RBMY1D;RBMY1C;RBMY1B
MHC Class II Protein Complex Assembly (GO:0002399)	2/13	0.9423764157901545	0.9999966098781564	0	0	0.4107140210189289	0.024376079254720327	HLA-DRB4;HLA-DRB3
Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	2/13	0.9423764157901545	0.9999966098781564	0	0	0.4107140210189289	0.024376079254720327	HLA-DRB4;HLA-DRB3
Regulation of Defense Response to Bacterium (GO:1900424)	1/8	0.9466836397496348	0.9999966098781564	0	0	0.3227444221901346	0.01768326608494888	SIGLEC16
Positive Regulation of Immune Response to Tumor Cell (GO:0002839)	1/8	0.9466836397496348	0.9999966098781564	0	0	0.3227444221901346	0.01768326608494888	HLA-DRB3
Regulation of Endoplasmic Reticulum Unfolded Protein Response (GO:1900101)	1/8	0.9466836397496348	0.9999966098781564	0	0	0.3227444221901346	0.01768326608494888	PIGBOS1
Regulation of Fertilization (GO:0080154)	1/8	0.9466836397496348	0.9999966098781564	0	0	0.3227444221901346	0.01768326608494888	FAM170B
T Cell Mediated Cytotoxicity (GO:0001913)	1/8	0.9466836397496348	0.9999966098781564	0	0	0.3227444221901346	0.01768326608494888	TRA
Immune Response-Inhibiting Cell Surface Receptor Signaling Pathway (GO:0002767)	1/8	0.9466836397496348	0.9999966098781564	0	0	0.3227444221901346	0.01768326608494888	KIR2DS2
Auditory Behavior (GO:0031223)	1/8	0.9466836397496348	0.9999966098781564	0	0	0.3227444221901346	0.01768326608494888	DCANP1
Learned Vocalization Behavior or Vocal Learning (GO:0098598)	1/8	0.9466836397496348	0.9999966098781564	0	0	0.3227444221901346	0.01768326608494888	DCANP1
Response to Auditory Stimulus (GO:0010996)	1/8	0.9466836397496348	0.9999966098781564	0	0	0.3227444221901346	0.01768326608494888	DCANP1
Positive Regulation of T Cell Mediated Immune Response to Tumor Cell (GO:0002842)	1/8	0.9466836397496348	0.9999966098781564	0	0	0.3227444221901346	0.01768326608494888	HLA-DRB3
Glycolipid Catabolic Process (GO:0019377)	2/14	0.9574433744480464	0.9999966098781564	0	0	0.37646067721071796	0.016371784938680748	PNLIPRP2;GBA3
Tooth Mineralization (GO:0034505)	1/9	0.9630444458336775	0.9999966098781564	0	0	0.2823809911966091	0.010633258051190057	AMELY
Formation of Translation Preinitiation Complex (GO:0001731)	1/9	0.9630444458336775	0.9999966098781564	0	0	0.2823809911966091	0.010633258051190057	EIF2S3B
Negative Regulation of Peptidyl-Serine Phosphorylation (GO:0033137)	1/9	0.9630444458336775	0.9999966098781564	0	0	0.2823809911966091	0.010633258051190057	NLRP2B
Glycophagy (GO:0061723)	1/9	0.9630444458336775	0.9999966098781564	0	0	0.2823809911966091	0.010633258051190057	STBD1
Positive Regulation of Sodium Ion Export Across Plasma Membrane (GO:1903278)	1/9	0.9630444458336775	0.9999966098781564	0	0	0.2823809911966091	0.010633258051190057	FXYD6-FXYD2
Regulation of Sodium Ion Export Across Plasma Membrane (GO:1903276)	1/9	0.9630444458336775	0.9999966098781564	0	0	0.2823809911966091	0.010633258051190057	FXYD6-FXYD2
Phosphatidylcholine Catabolic Process (GO:0034638)	1/9	0.9630444458336775	0.9999966098781564	0	0	0.2823809911966091	0.010633258051190057	PNLIPRP2
Regulation of Wound Healing, Spreading of Epidermal Cells (GO:1903689)	1/9	0.9630444458336775	0.9999966098781564	0	0	0.2823809911966091	0.010633258051190057	FIGNL2
Positive Regulation of Acrosome Reaction (GO:2000344)	1/9	0.9630444458336775	0.9999966098781564	0	0	0.2823809911966091	0.010633258051190057	FAM170B
Regulation of Actin Filament Length (GO:0030832)	1/9	0.9630444458336775	0.9999966098781564	0	0	0.2823809911966091	0.010633258051190057	TMSB4Y
Nuclear Membrane Disassembly (GO:0051081)	1/10	0.9743851012847712	0.9999966098781564	0	0	0.2509872115349781	0.006512784900170043	SERPINA2
Plasma Membrane Phospholipid Scrambling (GO:0017121)	1/10	0.9743851012847712	0.9999966098781564	0	0	0.2509872115349781	0.006512784900170043	PLSCR3
Positive Regulation of Defense Response to Bacterium (GO:1900426)	1/10	0.9743851012847712	0.9999966098781564	0	0	0.2509872115349781	0.006512784900170043	SIGLEC16
Antifungal Innate Immune Response (GO:0061760)	2/16	0.9770422750222159	0.9999966098781564	0	0	0.3226339940835294	0.007493289898702299	DEFB136;DEFB106A
Negative Regulation of Intracellular Transport (GO:0032387)	1/11	0.9822458084569556	0.9999966098781564	0	0	0.2258721878056733	0.004046203864104145	MRLN
Interleukin-10-Mediated Signaling Pathway (GO:0140105)	1/11	0.9822458084569556	0.9999966098781564	0	0	0.2258721878056733	0.004046203864104145	LILRA3
Lipid Import Into Cell (GO:0140354)	1/11	0.9822458084569556	0.9999966098781564	0	0	0.2258721878056733	0.004046203864104145	PLPPR4
Regulation of Axon Regeneration (GO:0048679)	1/11	0.9822458084569556	0.9999966098781564	0	0	0.2258721878056733	0.004046203864104145	FIGNL2
Glutamine Metabolic Process (GO:0006541)	1/12	0.9876942834373212	0.9999966098781564	0	0	0.2053235320271512	0.0025423280541466003	GLYATL1B
Presynapse Organization (GO:0099172)	1/12	0.9876942834373212	0.9999966098781564	0	0	0.2053235320271512	0.0025423280541466003	NLGN4Y
Positive Regulation of CD4-positive, Alpha-Beta T Cell Activation (GO:2000516)	1/12	0.9876942834373212	0.9999966098781564	0	0	0.2053235320271512	0.0025423280541466003	HLA-DRB3
Regulation of T Cell Mediated Immune Response to Tumor Cell (GO:0002840)	1/12	0.9876942834373212	0.9999966098781564	0	0	0.2053235320271512	0.0025423280541466003	HLA-DRB3
Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	2/18	0.9877642503713702	0.9999966098781564	0	0	0.28226398173813794	0.0034750147369168806	HLA-DRB4;HLA-DRB3
Negative Regulation of Inflammasome-Mediated Signaling Pathway (GO:0141086)	2/19	0.9911011347583042	0.9999966098781564	0	0	0.2656410354782709	0.0023744846264371617	NLRP2B;PYDC5
Negative Regulation of Secretion (GO:0051048)	1/13	0.9914706836670023	0.9999966098781564	0	0	0.1881996522117161	0.0016120992347959668	DCANP1
Programmed Necrotic Cell Death (GO:0097300)	1/13	0.9914706836670023	0.9999966098781564	0	0	0.1881996522117161	0.0016120992347959668	ATG9B
Lipid Droplet Formation (GO:0140042)	1/13	0.9914706836670023	0.9999966098781564	0	0	0.1881996522117161	0.0016120992347959668	SMIM22
Regulation of Sensory Perception (GO:0051931)	1/13	0.9914706836670023	0.9999966098781564	0	0	0.1881996522117161	0.0016120992347959668	SMR3A
Cardiocyte Differentiation (GO:0035051)	1/13	0.9914706836670023	0.9999966098781564	0	0	0.1881996522117161	0.0016120992347959668	EEF1AKMT4-ECE2
Protein Localization to Phagophore Assembly Site (GO:0034497)	1/13	0.9914706836670023	0.9999966098781564	0	0	0.1881996522117161	0.0016120992347959668	ATG9B
Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571)	1/13	0.9914706836670023	0.9999966098781564	0	0	0.1881996522117161	0.0016120992347959668	CDPF1
Regulation of Acrosome Reaction (GO:0060046)	1/13	0.9914706836670023	0.9999966098781564	0	0	0.1881996522117161	0.0016120992347959668	FAM170B
Cranial Nerve Development (GO:0021545)	1/13	0.9914706836670023	0.9999966098781564	0	0	0.1881996522117161	0.0016120992347959668	DCANP1
Negative Regulation of DNA Replication (GO:0008156)	1/13	0.9914706836670023	0.9999966098781564	0	0	0.1881996522117161	0.0016120992347959668	SERPINA2
tRNA 5'-End Processing (GO:0099116)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	NLRP2B
Telomere Maintenance in Response to DNA Damage (GO:0043247)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	SHLD3
Positive Regulation of Isotype Switching (GO:0045830)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	SHLD3
Glycogen Catabolic Process (GO:0005980)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	STBD1
Positive Regulation of Sodium Ion Transmembrane Transport (GO:1902307)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	FXYD6-FXYD2
Negative Regulation of Toll-Like Receptor Signaling Pathway (GO:0034122)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	NLRP2B
Neuron Cell-Cell Adhesion (GO:0007158)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	NLGN4Y
Bone Morphogenesis (GO:0060349)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	ATG9B
Protein Localization to Chromosome, Telomeric Region (GO:0070198)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	SERPINA2
Meiotic Sister Chromatid Cohesion (GO:0051177)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	MEIKIN
Mitotic G1/S Transition Checkpoint Signaling (GO:0044819)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	CDPF1
Regulation of Actin Filament Organization (GO:0110053)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	TMSB4Y
Positive Regulation of Double-Strand Break Repair via Nonhomologous End Joining (GO:2001034)	1/14	0.9940880862332662	0.9999966098781564	0	0	0.17371021544480952	0.0010300074806729408	SHLD3
Positive Regulation of RNA Splicing (GO:0033120)	5/36	0.994385757226857	0.9999966098781564	0	0	0.3639951586591591	0.002049315263650435	RBMY1F;RBMY1E;RBMY1D;RBMY1C;RBMY1B
Homologous Chromosome Segregation (GO:0045143)	2/21	0.9953230854260378	0.9999966098781564	0	0	0.23764449440902108	0.0011140501935636097	C14ORF39;MEIKIN
Negative Regulation of Cyclin-Dependent Protein Kinase Activity (GO:1904030)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	CDPF1
Positive Regulation of Immunoglobulin Mediated Immune Response (GO:0002891)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	SHLD3
Regulation of Exit From Mitosis (GO:0007096)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	CDC14C
Ganglioside Biosynthetic Process (GO:0001574)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	C20ORF173
Genitalia Development (GO:0048806)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	DCANP1
Regulation of Isotype Switching (GO:0045191)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	SHLD3
Glycoside Metabolic Process (GO:0016137)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	GBA3
Neuromuscular Process Controlling Balance (GO:0050885)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	DCANP1
Regulation of Response to Endoplasmic Reticulum Stress (GO:1905897)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	PIGBOS1
Regulation of Sensory Perception of Pain (GO:0051930)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	SMR3A
Negative Regulation of NLRP3 Inflammasome Complex Assembly (GO:1900226)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	NLRP2B
Regulation of Cellular Response to Heat (GO:1900034)	1/15	0.995902148566538	0.9999966098781564	0	0	0.16129069821603242	6.623032577740249E-4	SERPINA2
Triglyceride Catabolic Process (GO:0019433)	1/16	0.997159401110395	0.9999966098781564	0	0	0.15052711661775894	4.281956146492168E-4	PNLIPRP2
Glycosphingolipid Catabolic Process (GO:0046479)	1/16	0.997159401110395	0.9999966098781564	0	0	0.15052711661775894	4.281956146492168E-4	GBA3
Presynapse Assembly (GO:0099054)	1/16	0.997159401110395	0.9999966098781564	0	0	0.15052711661775894	4.281956146492168E-4	NLGN4Y
Pancreas Development (GO:0031016)	1/16	0.997159401110395	0.9999966098781564	0	0	0.15052711661775894	4.281956146492168E-4	SELENOT
Cellular Response to Gamma Radiation (GO:0071480)	1/16	0.997159401110395	0.9999966098781564	0	0	0.15052711661775894	4.281956146492168E-4	SERPINA2
Positive Regulation of DNA Damage Response, Signal Transduction by P53 Class Mediator (GO:0043517)	1/16	0.997159401110395	0.9999966098781564	0	0	0.15052711661775894	4.281956146492168E-4	SERPINA2
Ceramide Catabolic Process (GO:0046514)	1/16	0.997159401110395	0.9999966098781564	0	0	0.15052711661775894	4.281956146492168E-4	GBA3
Digestive Tract Morphogenesis (GO:0048546)	1/16	0.997159401110395	0.9999966098781564	0	0	0.15052711661775894	4.281956146492168E-4	PERCC1
Negative Regulation of Calcium Ion Transport (GO:0051926)	1/16	0.997159401110395	0.9999966098781564	0	0	0.15052711661775894	4.281956146492168E-4	MRLN
