PMS2P1
TBL1Y
PMS2P11
MIR192
PMS2P5
PMS2P3
PMS2P2
PMS2P4
PMS2P7
MIR15A
MIR143
MIR634
MIR497
MIR181A2
MIR590
MIR498
MIR424
MIR495
MIR944
MIR210
MIR211
MIR378A
MIR519B
MIR340
C6ORF132
MIR18A
MIR152
MIR338
MIR301A
MIR31
MIR320A
MIR203A
MIR561
MIR107
MIR34C
MIR650
MIR597
MIR195
MIR132
MIR28
MIR15B
MIR190A
MIR517B
MIR489
MIR455
MIR181D
MIR425
SHLD3
MIR130A
MIR637
MIR130B
MIR23B
MIR612
MIR27A
MIR646
MIR212
MIR27B
MIR543
MIR577
MIR202
MIR222
MIR363
MIR25
MIR429
MIR21
MIR23A
MIR519C
MIR374A
MIR92B
MIR506
MIR422A
MIR125A
MYCLP1
MIR18B
MIR148B
MIR216B
MIR181C
MIR200C
MIR19A
MIR300
MIR34B
MIR625
MIR148A
MIR548C
MIR301B
MIR643
MIR206
MIR592
MIR370
MIR584
MIR188
MIR545
MIR361
MIR30A
MIR367
MIR335
MIR607
MIR571
MIR221
MIR217
MIR655
MIR330
MIR141
MIR873
C10ORF53
MIR200A
MIR559
MIR151A
MIR889
MIR582
MIR30B
MIR766
MIR548B
MIR186
MIR328
MIR200B
MIR567
MIR32
MIR10B
MIR579
MIR135B
OR4F15
MIR575
MIR520D
MIR374B
MIR569
MIR30D
MIR661
MIR26B
MIR183
MIRLET7G
MIR454
HDGFL2
OR8U8
MIR519D
MIR525
TP53TG1
SSPOP
SNORA54
MIR324
MIR410
MIR574
MIR122
MIR296
MIR542
MIR33A
MIR137
MIR29C
MIR503
MIR499A
MIRLET7I
MIR98
MIR589
MIR193A
POM121B
MIR496
MIR620
MIR297
MIR576
MIRLET7C
MIR888
MIRLET7B
MIR509-1
MIR452
MIR568
MIRLET7E
MIR384
MIR524
MIR770
MIR520E
MIR505
MIR380
MIR376A1
MIR448
MIR504
MIR369
MIR501
MIR208A
MIR409
MIR302F
MIR520C
MIR182
MIR606
MIR544A
MIR154
MIR562
MIR494
MIR134
MIR922
OR1L4
C12ORF54
HOATZ
MIR198
MIR29A
MIR603
MIR600
MIR891B
MIR20A
MIR708
MIR573
MIR223
MIR185
MIR362
MIR744
MIR487A
SULT1D1P
MIR520H
MIR520G
MIR30E
MIR588
MIR539
MIR93
MIR326
MIR449B
MIR10A
MIR617
GAGE12J
MIR508
MIR635
MIR337
MIR642A
MIR523
MIR885
OR10V1
MIR100
PPP1R2B
MIR942
MIR599
MIR106A
MIR937
MIR383
LNX1-AS1
ESRG
MIR193B
SPATS1
MIR449A
MIR938
MIRLET7D
MIR485
MIR541
MIR663A
MIR219A1
MIR671
MIR510
MIR423
HMGB1P1
MIR649
MIR1271
MIR572
MIR381
MIR345
MIR373
MIR203B
NANOGP8
MIR421
MIR641
MIR146B
COX7CP1
LOH19CR1
FAM221B
MIR125B1
PVT1
SERPINA2
MIR519E
MIR302C
MIR136
MIR196B
MIR150
OR1N1
PRR33
MIR940
MIR199B
MIR609
MIR215
MIR943
MIR20B
MIR653
LINC01588
MIR3160-1
MSL3P1
MIR608
SNORA20
MIR224
MIR924
MIR376B
RALGAPA1P1
MIR133B
MIR190B
MIR934
MIR431
MIR220C
MIR147B
MIR876
MIR346
CASC2
MIR483
MIR520F
MIR520A
MIR921
TRPC2
GNAS-AS1
OR6N1
MIR216A
MIR935
MIR552
MIR618
MIR520B
MIR613
PA2G4P4
MIR486-1
BAGE
NANOGP1
NEAT1
FAM181A-AS1
MIR106B
MIR323A
MIR1297
SLC6A1-AS1
MIR3679
MIR890
MIR375
DEFB116
C15ORF65
MIR570
MIR767
MIR411
MIR659
MIR302A
LINC01619
TRA
BTF3P11
MIR507
MIR593
BOK-AS1
HTT-AS
MIR365A
GUSBP11
LINC01816
NACA4P
MIR372
XIST
MIR601
MIR149
MIR920
MIR4674
MIR450B
IGL
HSBP1L1
MIRLET7BHG
MIR302D
MIR526B
MIR522
MIR339
MIR3655
MIR4665
MIR549A
DNAJB3
MIR3180-1
MIR3180-2
MIR3180-3
NAT8B
AD5
PIPSL
DVL1P1
PLPPR1
C15ORF56
PRRT3-AS1
MIR371A
C20ORF204
MIR591
MIR587
MIR491
PSMD10P2
PSMD10P1
PSMD10P3
PSME2P2
PSMC1P1
PSMD4P1
OR2Z1
OR52M1
CYCTP
TLX1NB
GAGE12E
GAGE12H
MIR3180-5
MIR675
MIR518E
MIR657
MIR615
MIR4664
NLRP2B
TRB
OR4K13
TMEM238
MEG3
MIR4492
MIR633
MIR527
MIR509-3
MIR556
MIR197
MIR502
OR52N1
SPDYC
GUCY1B2
MIR382
MIR595
INHBA-AS1
MIR33B
HOXA11-AS
TUG1
MIR939
MIR616
MIR802
MIR936
HBBP1
MIR4428
FOXL2NB
MIR5089
SKINT1L
MIR3202-2
MROH5
MIR1294
ZNF542P
AURKAP1
GAGE2C
GAGE12I
GAGE8
ZNF890P
GAGE2D
GAGE6
SNORA40
SPDYE3
LINC02873
NUTM2E
PRR29
NPIPB6
OR10A2
C8ORF58
IGHE
LINC-PINT
DDX11L9
SNAR-A14
SNAR-A3
SNAR-A1
SNAR-A5
SNAR-A7
SNAR-A2
SNAR-A10
SNAR-C5
SNAR-A8
SNAR-A4
SNAR-C2
SNAR-C1
SNAR-A9
SNAR-A6
SNAR-A11
AGAP2-AS1
EPN2-IT1
MIR432
MIR580
SNORA71C
MIR875
MIR656
MIR208B
MIR2277
MIR342
MIR3940
NCOR1P1
CCL3L1
C22ORF24
TSIX
FAM229B
CF
KIAA0895L
SNORA37
MIR765
MIR19B1
MIR532
MIR299
MIR5581
MALAT1
NFE4
KIR2DL5A
OR10A5
OR6K2
H1-9P
TRAV3
CYP21A1P
MIR518C
FZD10-AS1
MIR95
TXLNGY
ARHGEF3-AS1
TTC28-AS1
DHRS4L1
MIR3199-2
HAR1A
PSMG3-AS1
FAM222A-AS1
FAM229A
SYT14P1
KIR2DL2
OR2T3
EFCAB10
MSH5-SAPCD1
USP9Y
CCL15-CCL14
TSPEAR-AS2
LINC00028
MIR548O2
MIR4634
LINC00471
LINC00494
MIR302B
C9ORF106
MIR760
MIR4447
CCNYL3
