Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Establishment of Protein Localization to Extracellular Region (GO:0035592)	2/40	0.9999879439686412	0.9999966048853383	0	0	0.11981200539102188	1.4444660014345138E-6	CTAGE9;CTAGE8
Positive Regulation of Cytokinesis (GO:0032467)	2/40	0.9999879439686412	0.9999966048853383	0	0	0.11981200539102188	1.4444660014345138E-6	OPN1MW3;CDC14C
Negative Regulation of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032435)	1/32	0.9999882797753754	0.9999966048853383	0	0	0.0734581725194962	8.609513277216777E-7	PANO1
Lipid Droplet Organization (GO:0034389)	1/32	0.9999882797753754	0.9999966048853383	0	0	0.0734581725194962	8.609513277216777E-7	SMIM22
Protein Localization to Golgi Apparatus (GO:0034067)	1/32	0.9999882797753754	0.9999966048853383	0	0	0.0734581725194962	8.609513277216777E-7	RAB6D
Mitochondrial Membrane Organization (GO:0007006)	1/32	0.9999882797753754	0.9999966048853383	0	0	0.0734581725194962	8.609513277216777E-7	PLSCR3
Response to Amino Acid (GO:0043200)	1/32	0.9999882797753754	0.9999966048853383	0	0	0.0734581725194962	8.609513277216777E-7	SPAAR
Negative Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000134)	1/32	0.9999882797753754	0.9999966048853383	0	0	0.0734581725194962	8.609513277216777E-7	CDPF1
Sperm-Egg Recognition (GO:0035036)	1/32	0.9999882797753754	0.9999966048853383	0	0	0.0734581725194962	8.609513277216777E-7	SPACA6
Sphingolipid Catabolic Process (GO:0030149)	1/32	0.9999882797753754	0.9999966048853383	0	0	0.0734581725194962	8.609513277216777E-7	GBA3
Regulation of Transcription by RNA Polymerase II (GO:0006357)	19/2250	0.9999903504786235	0.9999966048853383	0	0	0.016366832493133605	1.579328619975441E-7	ZNF705G;KLF18;DUX1;RNASE12;DUX3;ZFY;MBD3L2B;SARS1;TGIF2LY;TBL1Y;ZNF888;FOXO3B;CCDC169-SOHLH2;NANOGP8;CPHXL;DUXB;SUPT20HL1;ZNF883;SUPT20HL2
Regulation of DNA-templated Transcription (GO:0006355)	22/2139	0.9999904441081798	0.9999966048853383	0	0	0.020176555557837518	1.928059034319435E-7	KDM5D;ZNF705G;SMIM29;KLF18;DUX1;RNASE12;DUX3;ZFY;BUB1B-PAK6;LBHD1;TBL1Y;ZNF888;ZNF723;FOXO3B;CCDC169-SOHLH2;NANOGP8;CPHXL;DUXB;SUPT20HL1;OR7D2;ZNF883;SUPT20HL2
Positive Regulation of Immune System Process (GO:0002684)	2/41	0.9999904793433099	0.9999966048853383	0	0	0.11673148475512231	1.111365681756825E-6	HLA-DRB4;HLA-DRB3
Negative Regulation of DNA Metabolic Process (GO:0051053)	2/41	0.9999904793433099	0.9999966048853383	0	0	0.11673148475512231	1.111365681756825E-6	SERPINA2;CDPF1
Negative Regulation of Developmental Growth (GO:0048640)	1/33	0.9999909318735277	0.9999966048853383	0	0	0.07115747579189234	6.452679156188995E-7	CDPF1
B Cell Receptor Signaling Pathway (GO:0050853)	1/33	0.9999909318735277	0.9999966048853383	0	0	0.07115747579189234	6.452679156188995E-7	IGL
Ub-dep Prot Cat Proc via Multivsiclr Bdy Sorting Pway (GO:0043162)	1/33	0.9999909318735277	0.9999966048853383	0	0	0.07115747579189234	6.452679156188995E-7	UBAP1L
