Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signaling by PTK6	1/55	0.9999964261864484	0.9999966098781564	0	0	0.041695347124104866	1.490116628629617E-7	LINC01139
Nucleosome Assembly	1/53	0.9999964710986844	0.9999966098781564	0	0	0.04330528454265005	1.528203452394592E-7	H2AC18
RHOD GTPase Cycle	1/53	0.9999964710986844	0.9999966098781564	0	0	0.04330528454265005	1.528203452394592E-7	STBD1
Deposition of New CENPA-containing Nucleosomes at the Centromere	1/53	0.9999964710986844	0.9999966098781564	0	0	0.04330528454265005	1.528203452394592E-7	H2AC18
PRC2 Methylates Histones and DNA	1/41	0.9999964961294988	0.9999966098781564	0	0	0.056345777632865995	1.9742865399665875E-7	H2AC18
Cleavage of the Damaged Pyrimidine	1/41	0.9999964961294988	0.9999966098781564	0	0	0.056345777632865995	1.9742865399665875E-7	H2AC18
Defective Pyroptosis	1/41	0.9999964961294988	0.9999966098781564	0	0	0.056345777632865995	1.9742865399665875E-7	H2AC18
Recognition and Association of DNA Glycosylase With Site Containing an Affected Pyrimidine	1/41	0.9999964961294988	0.9999966098781564	0	0	0.056345777632865995	1.9742865399665875E-7	H2AC18
Depyrimidination	1/41	0.9999964961294988	0.9999966098781564	0	0	0.056345777632865995	1.9742865399665875E-7	H2AC18
Pyruvate Metabolism	1/49	0.999996557133152	0.9999966098781564	0	0	0.046927643734376696	1.6156590699046176E-7	MPC1L
tRNA Aminoacylation	1/42	0.9999965575587242	0.9999966098781564	0	0	0.0549675141355261	1.892227651833309E-7	SARS1
Condensation of Prophase Chromosomes	1/42	0.9999965575587242	0.9999966098781564	0	0	0.0549675141355261	1.892227651833309E-7	H2AC18
RMTs Methylate Histone Arginines	1/48	0.9999965757729486	0.9999966098781564	0	0	0.047929572872513856	1.6412202098549235E-7	H2AC18
Base-Excision Repair, AP Site Formation	1/43	0.9999965917048724	0.9999966098781564	0	0	0.053654882233297625	1.828719853272E-7	H2AC18
Inhibition of DNA Recombination at Telomere	1/47	0.9999965917572734	0.9999966098781564	0	0	0.04897506414709176	1.6691919061477108E-7	H2AC18
Interleukin-10 Signaling	1/46	0.9999966038047458	0.9999966098781564	0	0	0.050067021700539796	1.700376702343355E-7	CCL3L1
Netrin-1 Signaling	1/44	0.9999966072525817	0.9999966098781564	0	0	0.052403302977684425	1.7779147249099837E-7	HFE2
Elastic Fibre Formation	1/44	0.9999966072525817	0.9999966098781564	0	0	0.052403302977684425	1.7779147249099837E-7	EMILIN3
ERCC6 (CSB) and EHMT2 (G9a) Positively Regulate rRNA Expression	1/45	0.9999966098781564	0.9999966098781564	0	0	0.05120861368823547	1.736037341131512E-7	H2AC18
