Hearing and ear disorders	Deafness_and_congenital_structural_abnormalities
Hearing and ear disorders	Monogenic_hearing_loss
Metabolic disorders	Congenital_disorders_of_glycosylation
Metabolic disorders	Hyperammonaemia
Metabolic disorders	Hypophosphataemia_or_rickets
Metabolic disorders	Iron_metabolism_disorders_-_NOT_common_HFE_mutations
Metabolic disorders	Ketotic_hypoglycaemia
Metabolic disorders	Likely_inborn_error_of_metabolism_-_targeted_testing_not_possible
Metabolic disorders	Lysosomal_storage_disorder
Metabolic disorders	Mitochondrial_disorders
Metabolic disorders	Mitochondrial_disorder_with_complex_I_deficiency
Metabolic disorders	Mitochondrial_disorder_with_complex_III_deficiency
Metabolic disorders	Mitochondrial_disorder_with_complex_IV_deficiency
Metabolic disorders	Mitochondrial_disorder_with_complex_V_deficiency
Metabolic disorders	Mitochondrial_DNA_maintenance_disorder
Metabolic disorders	Mucopolysaccharideosis,_Gaucher,_Fabry
Metabolic disorders	Peroxisomal_disorders
Metabolic disorders	Pyruvate_dehydrogenase_(PDH)_deficiency
Metabolic disorders	Undiagnosed_metabolic_disorders
Metabolic disorders	Glycogen_storage_disease
Neurology and neurodevelopmental disorders	Acute_rhabdomyolysis
Neurology and neurodevelopmental disorders	Adult_onset_dystonia,_chorea_or_related_movement_disorder
Neurology and neurodevelopmental disorders	Adult_onset_hereditary_spastic_paraplegia
Neurology and neurodevelopmental disorders	Adult_onset_leukodystrophy
Neurology and neurodevelopmental disorders	Adult_onset_neurodegenerative_disorder
Neurology and neurodevelopmental disorders	Arthrogryposis
Neurology and neurodevelopmental disorders	Ataxia_and_cerebellar_anomalies_-_narrow_panel
Neurology and neurodevelopmental disorders	Autism
Neurology and neurodevelopmental disorders	Brain_channelopathy
Neurology and neurodevelopmental disorders	Cerebellar_hypoplasia
Neurology and neurodevelopmental disorders	Cerebral_vascular_malformations
Neurology and neurodevelopmental disorders	Childhood_onset_dystonia,_chorea_or_related_movement_disorder
Neurology and neurodevelopmental disorders	Childhood_onset_hereditary_spastic_paraplegia
Neurology and neurodevelopmental disorders	Congenital_muscular_dystrophy
Neurology and neurodevelopmental disorders	Congenital_myaesthenic_syndrome
Neurology and neurodevelopmental disorders	Congenital_myopathy
Neurology and neurodevelopmental disorders	Distal_myopathies
Neurology and neurodevelopmental disorders	Early_onset_dementia_(encompassing_fronto-temporal_dementia_and_prion_disease)
Neurology and neurodevelopmental disorders	Early_onset_dystonia
